name,lat,lng,location_type,accessibility_metric,accessibility_category,accessibility_code,region
Block 22 (BISHAN),1.3572844410824,103.839396679952,HDB,102.3838,High Accessibility,1,BISHAN
Block 22 (JURONG EAST),1.32277239024452,103.739714299254,HDB,66.6559,Poor Accessibility,3,JURONG EAST
Block 22 (BUKIT MERAH),1.27655921599768,103.819821916902,HDB,99.8477,High Accessibility,1,BUKIT MERAH
Block 22A (NOVENA),1.32650498399225,103.859260911879,HDB,80.3177,Moderate Accessibility,2,NOVENA
Block 22A (BISHAN),1.35746679660693,103.839106803265,HDB,102.2754,High Accessibility,1,BISHAN
Block 22A (JURONG EAST),1.32329734325747,103.739388082047,HDB,68.19,Poor Accessibility,3,JURONG EAST
Block 220 (ANG MO KIO),1.36558833593063,103.840518883254,HDB,114.7535,High Accessibility,1,ANG MO KIO
Block 220 (TOA PAYOH),1.34261673404284,103.856454868244,HDB,98.8243,High Accessibility,1,TOA PAYOH
Block 220 (PASIR RIS),1.36984821188537,103.961582596338,HDB,64.3444,Poor Accessibility,3,PASIR RIS
Block 220 (SERANGOON),1.35873956915076,103.872225412529,HDB,149.6839,High Accessibility,1,SERANGOON
Block 220A (PASIR RIS),1.37007425579013,103.961001855436,HDB,65.7412,Poor Accessibility,3,PASIR RIS
Block 220B (PASIR RIS),1.37005023578113,103.96123670921,HDB,65.1059,Poor Accessibility,3,PASIR RIS
Block 221 (ANG MO KIO),1.36637938294119,103.839482297653,HDB,110.5121,High Accessibility,1,ANG MO KIO
